gene_id	TCGA-BH-A0AY-01A-21R-A00Z-07	gene_id	TCGA-BH-A0AY-11A-23R-A089-07
MAPT	1856.5841	MAPT	1440
MARCH1	96.9144	MARCH1	28.6957
MARCH2	700.9996	MARCH2	803.4783
MARCH3	49.9783	MARCH3	121.3043
MARCH4	8.2573	removed	removed
MARCH5	1266.8405	MARCH5	1287.8261
MARCH6	1444.5893	MARCH6	1970.4348
MARCH7	1021.2951	MARCH7	2215.2174
MARCH8	319.4263	MARCH8	462.1739
MARCH9	240.7649	MARCH9	179.1304
MARCKSL1	10737.5054	MARCKSL1	1863.913
MARCKS	3258.5832	MARCKS	3796.5217
MARCO	157.7575	MARCO	327.3913
MARK1	43.894	MARK1	429.5652
MARK2	2115.1673	MARK2	1249.1304
MARK3	1105.6063	MARK3	1073.4783
MARK4	868.3181	MARK4	616.5217
MARS2	131.6819	MARS2	147.8261
MARS	1334.6241	MARS	1180.7957
MARVELD1	1343.0291	MARVELD1	1200.8087
MARVELD2	452.8466	MARVELD2	268.2609
MARVELD3	203.6419	MARVELD3	299
MASP1	15.6454	MASP1	170
MASP2	11.734	MASP2	31.7391
MAST1	7.8227	removed	removed
MAST2	1031.2907	MAST2	960.4348
MAST3	386.7884	MAST3	298.2609
MAST4	263.3638	MAST4	1033.0435
MASTL	326.8144	MASTL	317.8261
MAT1A	5.2151	MAT1A	8.2609
MAT2A	2754.4546	MAT2A	3529.1304
MAT2B	1013.907	MAT2B	1903.913
MATK	55.628	MATK	38.6957
MATN2	1145.5889	MATN2	4354.7826
MATN3	102.1295	MATN3	68.6957
removed	removed	MATN4	8.6957
MATR3	5717.0795	MATR3	7519.1304
MAVS	2489.787	MAVS	2351.3043
MAX	1500.2173	MAX	1213.0435
MAZ	10338.5007	MAZ	1738.4609
MBD1	746.6319	MBD1	1005.6522
MBD2	1887.8748	MBD2	1873.913
MBD3	1252.4989	MBD3	833.4783
MBD4	609.7349	MBD4	720.8696
MBD5	269.8827	MBD5	343.913
MBD6	1596.6971	MBD6	1169.5652
MBIP	172.0991	MBIP	438.6957
removed	removed	MBL1P	13.4783
MBLAC1	18.2529	MBLAC1	30
MBLAC2	170.3607	MBLAC2	337.3913
MBNL1	2196.5233	MBNL1	5561.113
MBNL2	594.9587	MBNL2	3168.6957
MBNL3	34.3329	MBNL3	53.0435
MBOAT1	657.1056	MBOAT1	951.7391
MBOAT2	688.8309	MBOAT2	279.5652
MBOAT7	1669.7088	MBOAT7	802.1739
MBP	357.6706	MBP	1121.7391
MBTD1	274.2286	MBTD1	642.6087
MBTPS1	2112.9944	MBTPS1	3783.913
MBTPS2	678.4007	MBTPS2	555.6522
MB	310.2999	MB	203.0435
MC1R	94.3068	MC1R	46.1043
MCAM	3235.9844	MCAM	8893.4783
MCART1	210.7779	MCART1	222.6087
removed	removed	MCART2	6.087
removed	removed	MCART6	7.3913
removed	removed	MCAT	242.6087
MCCC1	431.1169	MCCC1	623.4783
MCCC2	2912.2121	MCCC2	1758.2609
MCCD1	7.3881	MCCD1	70
MCC	572.7944	MCC	1377.3913
MCEE	180.3564	MCEE	199.5652
MCF2L	975.7279	MCF2L	1017.8261
MCFD2	1544.9804	MCFD2	3287.3913
removed	removed	MCHR1	5.4522
MCL1	8741.4168	MCL1	14174.3478
MCM10	157.3229	MCM10	24.7826
MCM2	890.0478	MCM2	389.5652
MCM3APAS	30.5693	MCM3APAS	46.6565
MCM3AP	5885.1195	MCM3AP	1980.7348
MCM3	2098.2182	MCM3	1631.3043
MCM4	3973.0552	MCM4	570.8696
MCM5	649.2829	MCM5	603.0435
MCM6	1031.2907	MCM6	713.913
MCM7	1209.6871	MCM7	1345.6348
MCM8	91.2647	MCM8	131.7391
MCM9	53.8896	MCM9	74.7826
MCOLN1	372.4468	MCOLN1	300.4348
MCOLN2	29.987	MCOLN2	7.8261
MCOLN3	26.9448	MCOLN3	69.5652
MCPH1	239.4611	MCPH1	561.613
MCRS1	670.1434	MCRS1	666.9565
MCTP1	150.804	MCTP1	511.7391
MCTP2	29.987	MCTP2	280
MCTS1	930.8996	MCTS1	793.0435
MDC1	870.0565	MDC1	1020.8696
MDFIC	770.9691	MDFIC	2171.7391
MDFI	128.6397	MDFI	445.6522
MDGA1	165.1456	MDGA1	110.4348
removed	removed	MDH1B	18.6957
MDH1	1811.8209	MDH1	4405.2174
MDH2	7478.053	MDH2	2564.7826
MDK	4073.4463	MDK	1140
MDM1	85.615	MDM1	270.4348
MDM2	1458.9309	MDM2	1740.4348
MDM4	472.8379	MDM4	881.3043
MDN1	685.3542	MDN1	1197.8261
MDP1	192.8205	MDP1	201.7304
ME1	200.3477	ME1	660.4348
ME2	743.1551	ME2	515.2174
ME3	78.6615	ME3	378.2609
MEA1	1696.9752	MEA1	859.3522
MEAF6	1528.9005	MEAF6	1374.3478
MECOM	408.518	MECOM	988.6957
MECP2	1166.4494	MECP2	1834.7826
MECR	389.8305	MECR	406.5217
MED10	269.0135	MED10	350.4348
MED11	201.6515	MED11	206.9565
removed	removed	MED12L	7.3913
MED12	1449.8044	MED12	1370.8696
MED13L	1857.8879	MED13L	3598.6957
MED13	1448.5007	MED13	1823.0435
MED14	1018.2529	MED14	1000
MED15	1710.5606	MED15	1324.7826
MED16	692.3077	MED16	753.0435
MED17	589.7436	MED17	676.087
MED18	232.5076	MED18	213.4783
MED19	533.681	MED19	226.087
MED1	1008.6919	MED1	1590
MED20	840.9387	MED20	465.6522
MED21	435.8974	MED21	518.6957
MED22	1055.628	MED22	763.4783
MED23	684.0504	MED23	983.0435
MED24	1095.6106	MED24	1131.7391
MED25	933.5072	MED25	404.3478
MED26	235.5498	MED26	247.8261
MED27	275.967	MED27	248.6957
MED28	692.3077	MED28	531.3043
MED29	1358.9744	MED29	1489.5652
MED30	196.0017	MED30	219.5652
MED31	116.0887	MED31	117.9391
MED4	694.0461	MED4	946.087
MED6	345.0674	MED6	346.9565
MED7	185.5715	MED7	216.5217
MED8	644.937	MED8	520.4348
MED9	240.3303	MED9	419.1304
MEF2A	1145.6236	MEF2A	2065.6957
MEF2B	5.0196	MEF2B	7.213
MEF2C	585.3977	MEF2C	1744.7826
MEF2D	1946.9796	MEF2D	1742.6087
MEG3	53.0204	MEG3	183.0435
MEGF10	51.2821	MEGF10	81.7391
MEGF6	486.3103	MEGF6	702.6087
MEGF8	1228.5963	MEGF8	1180
MEGF9	1860.0608	MEGF9	1995.2174
MEI1	18.2529	MEI1	78.6957
MEIS1	84.3112	MEIS1	703.0435
removed	removed	MEIS2	492.1739
MEIS3P1	340.2868	MEIS3P1	956.9565
MEIS3	222.512	MEIS3	122.6087
MELK	436.332	MELK	20.8696
MEMO1	579.7479	MEMO1	253.9696
MEN1	1188.6136	MEN1	588.6957
MEOX1	212.9509	MEOX1	1139.5652
MEOX2	275.0978	MEOX2	1016.087
MEPCE	1701.8688	MEPCE	1150.4348
MERTK	176.445	MERTK	347.3913
MESDC1	588.0052	MESDC1	381.3043
MESDC2	1187.7445	MESDC2	1352.6087
MESP1	255.5411	MESP1	53.0435
MESP2	69.535	MESP2	13.913
removed	removed	MESTIT1	23.4783
MEST	1085.1804	MEST	3040.4348
METAP1	1189.4828	METAP1	1126.5217
METAP2	1482.399	METAP2	1586.5217
METRNL	594.5241	METRNL	320.4348
METRN	2176.0104	METRN	59.1304
METT10D	609.3003	METT10D	1047.3913
METT11D1	350.2825	METT11D1	453.913
METT5D1	545.415	METT5D1	297.3913
METTL10	201.1256	METTL10	366.4478
METTL11A	560.3607	METTL11A	276.6174
METTL12	126.9405	METTL12	52.6652
METTL13	1068.6658	METTL13	786.087
METTL14	334.6371	METTL14	420.8696
METTL1	395.0456	METTL1	197.3913
METTL2A	485.0065	METTL2A	276.9565
METTL2B	265.1021	METTL2B	306.5217
METTL3	535.3325	METTL3	616.6565
METTL4	116.0365	METTL4	292.1739
METTL5	360.3738	METTL5	441.213
METTL6	312.0382	METTL6	236.5217
METTL7A	1169.0569	METTL7A	3745.6522
METTL7B	21.2951	METTL7B	6.9565
METTL8	317.688	METTL8	383.4783
METTL9	3131.6819	METTL9	2196.9565
MET	263.3638	MET	2688.2609
MEX3A	1577.575	MEX3A	180
MEX3B	73.8809	MEX3B	38.6957
MEX3C	731.8557	MEX3C	1236.087
MEX3D	422.8596	MEX3D	251.3043
MFAP1	893.9591	MFAP1	824.3478
MFAP2	1242.9379	MFAP2	151.7391
MFAP3L	487.1795	MFAP3L	295.6522
MFAP3	1093.003	MFAP3	1483.0435
MFAP4	1574.9674	MFAP4	7398.2435
MFAP5	2836.5928	MFAP5	3285.6522
MFF	1101.2603	MFF	1030
MFGE8	3614.5154	MFGE8	5455.6522
MFHAS1	205.9974	MFHAS1	329.5652
MFI2	92.1339	MFI2	222.1739
MFN1	520.2086	MFN1	762.1739
MFN2	1900.9126	MFN2	2838.2609
MFNG	227.7271	MFNG	433.913
MFRP	1029.1178	MFRP	495.6522
MFSD10	1557.5837	MFSD10	505.2174
MFSD11	532.3598	MFSD11	561.7522
MFSD1	1534.9848	MFSD1	1659.1304
MFSD2A	109.083	MFSD2A	24.7826
MFSD2B	15.2108	removed	removed
MFSD3	1516.2973	MFSD3	126.9565
MFSD4	11.734	MFSD4	290.8696
MFSD5	714.0374	MFSD5	483.0435
removed	removed	MFSD6L	57.3913
MFSD6	1547.1534	MFSD6	1586.5217
MFSD7	452.2425	MFSD7	103.2391
MFSD8	164.2764	MFSD8	376.5217
MFSD9	91.2647	MFSD9	170
removed	removed	MGAM	5.2174
MGAT1	3330.2912	MGAT1	3010.8696
MGAT2	599.7392	MGAT2	732.6087
MGAT3	79.096	MGAT3	353.4783
MGAT4A	880.4867	MGAT4A	1154.7826
MGAT4B	1412.864	MGAT4B	940.687
removed	removed	MGAT5B	14.7826
MGAT5	152.5424	MGAT5	249.5652
MGA	672.3164	MGA	1331.3043
removed	removed	MGC12916	6.5217
MGC12982	25.641	MGC12982	23.4783
removed	removed	MGC14436	6.9565
removed	removed	MGC16142	8.2609
MGC16275	35.2021	MGC16275	52.1739
MGC21881	63.8853	MGC21881	156.5217
MGC23270	24.7718	MGC23270	16.5217
MGC23284	69.1004	MGC23284	46.087
MGC2752	500.2173	MGC2752	503.4783
MGC29506	440.678	MGC29506	445.2174
MGC3771	33.7288	MGC3771	10.6565
MGC42105	5.6497	MGC42105	20
MGC45800	67.362	MGC45800	41.7391
MGC57346	103.003	MGC57346	218.5783
MGC70857	834.8544	MGC70857	268.6957
MGC72080	128.1747	MGC72080	58.9565
MGC87042	16.5146	MGC87042	30.8696
MGEA5	3613.2116	MGEA5	4881.3043
MGLL	1738.3746	MGLL	8246.087
MGMT	480.6606	MGMT	376.087
MGP	8713.1682	MGP	123079.1304
MGRN1	2089.5263	MGRN1	1000.4348
MGST1	3039.9826	MGST1	7139.1304
MGST2	883.0943	MGST2	913.4783
MGST3	2402.8683	MGST3	2008.6957
MIA3	1638.4181	MIA3	2315.2174
MIAT	49.409	MIAT	108.6957
removed	removed	MIA	206.087
MIB1	1272.4902	MIB1	1839.5652
MIB2	236.4189	MIB2	203.4783
MICAL1	354.4415	MICAL1	310
MICAL2	2175.5758	MICAL2	587.8261
MICAL3	789.2221	MICAL3	1929.1304
MICALCL	19.1221	MICALCL	27.8261
MICALL1	452.412	MICALL1	643.4783
MICALL2	358.9744	MICALL2	201.3043
MICA	383.7462	MICA	616.087
MICB	259.887	MICB	159.1304
MID1IP1	710.126	MID1IP1	482.6087
MID1	465.8844	MID1	803.0435
MID2	725.3368	MID2	960
MIDN	1784.8761	MIDN	1463.4783
MIER1	701.4342	MIER1	1255.6522
MIER2	368.97	MIER2	370
MIER3	550.1956	MIER3	656.5217
MIF4GD	417.6445	MIF4GD	408.4348
MIF	6088.0704	MIF	1056.913
MIIP	265.9713	MIIP	205.2174
removed	removed	MIMT1	5.2174
MINA	795.2325	MINA	927.4
MINK1	1342.5815	MINK1	1854.9826
MINPP1	439.3742	MINPP1	449.1304
MIOS	811.8209	MIOS	717.3913
MIPEP	418.9483	MIPEP	374.3478
MIPOL1	108.2138	MIPOL1	135.2174
MIR155HG	13.907	removed	removed
MIR17HG	6.5189	MIR17HG	11.3043
MIS12	186.4407	MIS12	500
MITD1	200.7823	MITD1	266.9565
MITF	468.9266	MITF	792.1739
MKI67IP	817.8661	MKI67IP	683.4696
MKI67	1709.2568	MKI67	150.8696
MKKS	618.8614	MKKS	890.4348
MKL1	767.927	MKL1	1050.4348
MKL2	2136.4624	MKL2	3264.7826
MKLN1	1130.8127	MKLN1	2171.7391
MKNK1	401.1299	MKNK1	580.0391
MKNK2	2114.7327	MKNK2	2248.6957
MKRN1	2478.9222	MKRN1	2611.3043
MKRN2	571.0561	MKRN2	726.5217
MKS1	138.6354	MKS1	288.2609
MKX	924.8153	MKX	84.7826
MLC1	21.2951	MLC1	8.2609
MLEC	6777.9226	MLEC	4344.7826
MLF1IP	407.8575	MLF1IP	71.9087
MLF1	309.4307	MLF1	340
MLF2	4215.993	MLF2	2309.5652
MLH1	711.4298	MLH1	762.1739
MLH3	295.5237	MLH3	670.8696
MLKL	189.4828	MLKL	267.8261
MLL2	1510.2303	MLL2	1916.9565
MLL3	1617.5576	MLL3	2559.5652
MLL4	826.1625	MLL4	874.3478
MLL5	1282.9205	MLL5	2814.5174
MLLT10	332.4641	MLLT10	870.4348
MLLT11	183.8331	MLLT11	80.8696
MLLT1	1342.4598	MLLT1	1396.5217
MLLT3	302.4772	MLLT3	440.8696
MLLT4	2144.2851	MLLT4	2853.4783
MLLT6	1999.5654	MLLT6	3806.5217
MLL	1249.4568	MLL	2607.3913
MLPH	4424.1634	MLPH	2906.087
MLST8	1413.4289	MLST8	420.287
MLXIPL	40.8518	MLXIPL	292.1739
MLXIP	823.9896	MLXIP	861.3043
MLX	1020.9126	MLX	1076.7217
MLYCD	131.2473	MLYCD	314.7826
MMAA	318.5571	MMAA	267.8261
MMAB	447.1969	MMAB	467.8261
MMACHC	137.3316	MMACHC	186.5217
MMADHC	1632.3338	MMADHC	1883.913
MMD	505.4324	MMD	2474.3478
MMEL1	31.143	removed	removed
MME	388.9613	MME	4743.913
MMGT1	497.6097	MMGT1	995.2174
MMP11	14138.6354	MMP11	100
MMP12	74.7501	MMP12	16.5217
MMP13	182.5293	removed	removed
MMP14	13295.0891	MMP14	3511.3043
MMP15	1405.4759	MMP15	524.3478
MMP16	73.4463	MMP16	113.0435
MMP17	154.7153	MMP17	48.6957
MMP19	573.229	MMP19	618.6957
MMP1	142.1121	MMP1	15.2174
MMP23B	131.2473	MMP23B	79.1304
MMP24	172.9683	MMP24	379.5652
MMP25	63.5897	MMP25	67.9783
removed	removed	MMP27	13.4783
MMP28	148.1964	MMP28	438.6957
MMP2	13235.9844	MMP2	7823.913
MMP3	76.9231	MMP3	8.6957
MMP7	433.2899	MMP7	2126.9565
MMP8	6.5189	removed	removed
MMP9	1378.0965	MMP9	265.6522
MMRN1	158.6267	MMRN1	1620
MMRN2	1619.7306	MMRN2	4306.5217
MMS19	1289.874	MMS19	1115.2174
MN1	506.3016	MN1	328.2609
MNAT1	295.0891	MNAT1	252.1739
MND1	46.5015	MND1	13.0435
MNDA	269.0135	MNDA	109.5652
MNS1	42.5902	MNS1	96.9565
MNT	490.2216	MNT	510.4348
MNX1	45.1977	removed	removed
MOAP1	651.4559	MOAP1	1066.087
MOB2	601.4776	MOB2	605.2174
MOBKL1A	466.319	MOBKL1A	947.3913
MOBKL1B	608.4311	MOBKL1B	593.4783
MOBKL2A	1063.0161	MOBKL2A	857.8261
MOBKL2B	126.4668	MOBKL2B	649.5652
MOBKL2C	391.1343	MOBKL2C	784.3087
MOBKL3	962.1904	MOBKL3	1032.6087
MOCOS	66.9274	MOCOS	272.1739
MOCS1	330.2738	MOCS1	853.6565
MOCS2	765.754	MOCS2	782.6087
MOCS3	222.0774	MOCS3	152.1739
removed	removed	MOGAT2	13.4783
MOGS	1160.3651	MOGS	796.5217
MON1A	191.6558	MON1A	171.7391
MON1B	350.7171	MON1B	498.6957
MON2	583.6593	MON2	1361.3043
MORC2	1132.5511	MORC2	870.4348
MORC3	606.6927	MORC3	1104.3478
MORC4	893.09	MORC4	719.1304
MORF4L1	4443.2855	MORF4L1	4641.7391
MORF4L2	6966.5363	MORF4L2	3946.0783
MORF4	16.08	removed	removed
MORN1	45.6323	MORN1	76.5217
MORN2	259.887	MORN2	214.7826
MORN3	16.9492	MORN3	7.8261
MORN4	125.5976	MORN4	200.8696
MOSC1	465.0152	MOSC1	1452.1739
MOSC2	219.9044	MOSC2	431.3043
MOSPD1	235.9844	MOSPD1	243.0435
MOSPD2	195.1326	MOSPD2	235.2174
MOSPD3	345.502	MOSPD3	170
removed	removed	MOV10L1	8.6957
MOV10	1126.4668	MOV10	722.6087
MOXD1	275.5324	MOXD1	101.3043
MPDU1	1376.7927	MPDU1	806.5217
MPDZ	681.4429	MPDZ	1568.6957
MPEG1	797.4794	MPEG1	850
MPG	1000	MPG	472.6087
MPHOSPH10	677.5315	MPHOSPH10	858.6957
MPHOSPH6	718.3833	MPHOSPH6	306.9565
MPHOSPH8	733.5941	MPHOSPH8	1218.6957
MPHOSPH9	130.3781	MPHOSPH9	122.1739
MPI	720.5563	MPI	781.3043
MPL	9.9957	MPL	35.2174
MPND	217.7314	MPND	203.913
removed	removed	MPO	15.2174
MPP1	616.6884	MPP1	470.8696
MPP2	157.7575	MPP2	178.2609
MPP3	76.0539	MPP3	56.5217
MPP5	690.1347	MPP5	1007.8261
MPP6	15.2108	MPP6	83.913
MPP7	389.3959	MPP7	986.5217
MPPE1	282.9205	MPPE1	620.8696
MPPED1	5.2151	MPPED1	6.5217
MPPED2	37.3751	MPPED2	256.087
MPRIP	1786.6145	MPRIP	2456.9565
MPST	567.1447	MPST	534.3478
MPV17L2	455.4542	MPV17L2	218.2609
MPV17L	494.133	MPV17L	120
MPV17	822.2512	MPV17	654.3478
MPZL1	5096.4798	MPZL1	4639.5652
MPZL2	503.2595	MPZL2	849.5652
MPZL3	30.4216	MPZL3	53.0435
MPZ	31.7253	MPZ	96.087
MR1	146.4581	MR1	170
MRAP2	7.8227	MRAP2	106.5217
MRAP	38.8527	MRAP	490.7435
MRAS	860.4954	MRAS	3030.8696
MRC1	237.2881	MRC1	458.6957
MRC2	4906.5624	MRC2	2564.3478
MRE11A	343.329	MRE11A	561.7391
MREG	504.5632	MREG	503.3783
MRFAP1L1	2090.3955	MRFAP1L1	1691.7391
MRFAP1	8323.3377	MRFAP1	6487.8261
MRGPRF	231.2038	MRGPRF	694.3478
MRGPRX2	9.9957	MRGPRX2	5.2174
removed	removed	MRGPRX3	75.6522
MRI1	232.9422	MRI1	406.087
MRM1	64.3199	MRM1	70
MRO	73.0117	MRO	26.5217
MRP63	485.6671	MRP63	529.5478
MRPL10	647.9791	MRPL10	782.6087
MRPL11	763.1465	MRPL11	511.7391
MRPL12	1180.791	MRPL12	455.6522
MRPL13	1611.9079	MRPL13	436.5217
MRPL14	1082.5728	MRPL14	429.5652
MRPL15	2102.1295	MRPL15	580.4348
MRPL16	822.6858	MRPL16	610.4348
MRPL17	900.9126	MRPL17	684.7826
MRPL18	1126.9013	MRPL18	696.9565
MRPL19	1044.3286	MRPL19	1086.087
MRPL1	503.2595	MRPL1	350
MRPL20	1511.1126	MRPL20	1104.9087
MRPL21	561.9296	MRPL21	372.6087
MRPL22	477.6184	MRPL22	331.7391
MRPL23	414.6023	MRPL23	326.5217
MRPL24	1839.2003	MRPL24	907.3913
MRPL27	501.0865	MRPL27	573.4783
MRPL28	1323.7723	MRPL28	583.4783
MRPL2	532.8118	MRPL2	444.7826
MRPL30	876.5928	MRPL30	770.9478
MRPL32	1165.5802	MRPL32	655.6522
MRPL33	520.6432	MRPL33	579.1304
MRPL34	668.405	MRPL34	433.4783
MRPL35	863.9722	MRPL35	847.8261
MRPL36	343.7636	MRPL36	245.2174
MRPL37	1606.6927	MRPL37	1056.9565
MRPL38	1064.7197	MRPL38	565.1217
MRPL39	628.857	MRPL39	384.7826
MRPL3	1733.1595	MRPL3	1240.8696
MRPL40	631.03	MRPL40	625.6522
MRPL41	775.3151	MRPL41	329.5652
removed	removed	MRPL42P5	8.8826
MRPL42	814.8631	MRPL42	536.5217
MRPL43	1056.884	MRPL43	878.5609
MRPL44	810.0826	MRPL44	470
MRPL45	791.8296	MRPL45	916.9565
MRPL46	359.409	MRPL46	340
MRPL47	854.4111	MRPL47	446.087
MRPL48	583.2247	MRPL48	403.913
MRPL49	2524.1199	MRPL49	1389.5652
MRPL4	622.7727	MRPL4	530.8696
MRPL50	682.312	MRPL50	410
MRPL51	2220.339	MRPL51	1206.5217
MRPL52	411.9948	MRPL52	324.7826
MRPL53	601.043	MRPL53	333.4783
MRPL54	419.3829	MRPL54	545.6522
MRPL55	662.7553	MRPL55	299.1304
MRPL9	1265.4063	MRPL9	792.813
MRPS10	1239.8957	MRPS10	826.087
MRPS11	600.6084	MRPS11	392.6087
MRPS12	533.681	MRPS12	208.6957
MRPS14	453.2812	MRPS14	338.6957
MRPS15	1213.8201	MRPS15	839.1304
MRPS16	2161.6688	MRPS16	1184.1
MRPS17	654.0635	MRPS17	233.913
MRPS18A	743.5897	MRPS18A	573.913
MRPS18B	1961.7558	MRPS18B	1311.3043
MRPS18C	385.3629	MRPS18C	270.0739
MRPS21	1732.2903	MRPS21	825.6522
MRPS22	509.7784	MRPS22	490
MRPS23	574.0982	MRPS23	502.6087
MRPS24	1308.1269	MRPS24	656.9565
MRPS25	589.9739	MRPS25	695.0913
MRPS26	757.4967	MRPS26	484.3478
MRPS27	1203.8244	MRPS27	1510
MRPS28	459.1439	MRPS28	330.3391
MRPS2	1022.1339	MRPS2	592.5783
MRPS30	356.3668	MRPS30	583.913
MRPS31	239.0265	MRPS31	460
MRPS33	671.8818	MRPS33	540.4348
MRPS34	1985.2238	MRPS34	597.8261
MRPS35	1411.1256	MRPS35	963.913
MRPS36	356.8014	MRPS36	334.3478
MRPS5	606.2581	MRPS5	616.087
MRPS6	1068.5441	MRPS6	677.3087
MRPS7	1262.06	MRPS7	978.087
MRPS9	569.7523	MRPS9	463.0435
MRRF	707.9531	MRRF	420.8696
MRS2	712.299	MRS2	633.0435
MRTO4	1069.9696	MRTO4	676.087
MRVI1	312.0382	MRVI1	955.2174
MS4A14	95.4846	MS4A14	29.1304
MS4A15	69.535	removed	removed
MS4A1	7.3881	MS4A1	16.5217
MS4A2	315.9496	MS4A2	42.6087
MS4A4A	454.585	MS4A4A	401.3043
MS4A6A	1472.4033	MS4A6A	612.1739
MS4A7	1462.0991	MS4A7	389.1304
MSC	289.0526	MSC	131.7174
MSH2	668.405	MSH2	901.3043
MSH3	372.399	MSH3	506.1609
MSH5	76.4885	MSH5	120.5
MSH6	1906.997	MSH6	1606.087
MSI1	73.0117	MSI1	25.2174
MSI2	205.1282	MSI2	215.2174
MSL1	1760.5389	MSL1	1893.913
MSL2	574.9674	MSL2	1154.3478
MSL3L2	136.897	MSL3L2	54.3478
MSL3	668.405	MSL3	518.6957
MSLNL	5.2151	removed	removed
MSLN	8434.1591	MSLN	88.2609
MSMP	28.2486	MSMP	30.8696
MSN	7793.568	MSN	10767.8261
MSR1	1495.0022	MSR1	191.3043
MSRA	120.817	MSRA	317.8261
MSRB2	939.5915	MSRB2	523.0435
MSRB3	1066.0582	MSRB3	3006.9565
MST1P2	9.5611	MST1P2	58.2609
removed	removed	MST1P9	25.6522
MST1R	239.8957	MST1R	138.2609
MST1	27.814	MST1	40.8696
MST4	106.4754	MST4	377.8261
removed	removed	MSTN	6.5217
MSTO1	711.4689	MSTO1	756.8261
MSTO2P	147.3316	MSTO2P	186.2913
MSX1	70.4042	MSX1	159.1304
MSX2	296.3929	MSX2	179.5652
MT1A	6.5189	MT1A	23.0435
MT1E	178.618	MT1E	793.913
MT1F	69.9696	MT1F	106.5217
MT1G	17.3837	MT1G	80
MT1L	23.9027	MT1L	104.7826
MT1M	21.7297	MT1M	214.7826
MT1X	282.9205	MT1X	1450.8696
MT2A	1610.6041	MT2A	2260.4348
MTA1	698.392	MTA1	860.4348
MTA2	2993.9157	MTA2	1825.2174
MTA3	697.0882	MTA3	849.1304
MTAP	735.3325	MTAP	746.087
MTBP	83.442	MTBP	71.3043
MTCH1	3173.4029	MTCH1	3266.5217
MTCH2	2907.8661	MTCH2	1280.8696
MTCP1NB	250.4694	MTCP1NB	280.5478
MTCP1	8.1139	MTCP1	23.3652
MTDH	6085.1804	MTDH	2900
MTERFD1	503.694	MTERFD1	274.3478
MTERFD2	392.4381	MTERFD2	475.2174
MTERFD3	404.1721	MTERFD3	417.8261
MTERF	142.1121	MTERF	241.7391
MTF1	764.8848	MTF1	726.5217
MTF2	330.7258	MTF2	462.6087
MTFMT	132.1165	MTFMT	222.6087
MTFR1	1300.4346	MTFR1	410.913
MTG1	343.329	MTG1	290
MTHFD1L	490.6562	MTHFD1L	215.6522
MTHFD1	1761.3385	MTHFD1	1890.1478
MTHFD2L	151.8644	MTHFD2L	238.2304
MTHFD2	1744.8935	MTHFD2	733.4783
MTHFR	1036.2364	MTHFR	455.8391
MTHFSD	218.166	MTHFSD	327.3913
MTHFS	343.329	MTHFS	273.913
MTIF2	577.1404	MTIF2	660.4348
MTIF3	1280.3129	MTIF3	913.0435
MTL5	336.3755	MTL5	210.4348
MTM1	293.3507	MTM1	417.8261
MTMR10	510.4781	MTMR10	1350.1739
MTMR11	214.6893	MTMR11	249.1304
MTMR12	813.5593	MTMR12	1943.4783
MTMR14	514.1243	MTMR14	707.8261
MTMR15	262.2295	MTMR15	607.6522
MTMR1	693.1769	MTMR1	619.5652
MTMR2	445.8931	MTMR2	873.4783
MTMR3	980.4433	MTMR3	1722.1739
MTMR4	448.5007	MTMR4	812.1739
MTMR6	343.7636	MTMR6	1026.5217
MTMR7	10.7475	MTMR7	46.0652
removed	removed	MTMR8	24.5391
MTMR9L	47.8053	MTMR9L	170.8696
MTMR9	315.0804	MTMR9	524.3
MTO1	460.2347	MTO1	505.6522
MTOR	1531.508	MTOR	1437.8261
MTP18	167.6836	MTP18	150.6565
MTPAP	493.6984	MTPAP	523.913
MTRF1L	185.5715	MTRF1L	310.4348
MTRF1	64.7545	MTRF1	105.6522
MTRR	504.9978	MTRR	590.4348
MTR	915.2542	MTR	1676.9565
MTSS1L	1711.4298	MTSS1L	840.8696
MTSS1	1560.6258	MTSS1	727.313
MTUS1	1397.2186	MTUS1	3431.3043
removed	removed	MTUS2	15.2174
MTX1	970.8822	MTX1	386.9565
MTX2	696.6536	MTX2	510.8696
MTX3	333.7679	MTX3	786.5217
MUC15	262.06	MUC15	206.5217
MUC16	13.4724	MUC16	337.8261
MUC1	19784.007	MUC1	2285.6522
MUC20	24.7718	MUC20	264.7826
removed	removed	MUC4	16.9565
MUC5B	179.0526	MUC5B	89.5652
MUC6	66.9274	MUC6	300.8696
removed	removed	MUC7	7.8261
MUCL1	96.9144	MUCL1	58462.1739
MUDENG	617.123	MUDENG	742.6087
MUL1	596.2625	MUL1	830.8696
MUM1L1	277.7053	MUM1L1	56.5217
MUM1	683.6158	MUM1	815.2174
MURC	7.8227	removed	removed
MUS81	444.5893	MUS81	385.2174
MUSTN1	90.3694	MUSTN1	158.2609
MUTED	281.6167	MUTED	410.2087
MUTYH	92.7988	MUTYH	119.1043
MUT	1079.5306	MUT	966.5217
MVD	348.1095	MVD	223.4783
MVK	349.4133	MVK	286.087
MVP	5915.2542	MVP	2659.5652
MX1	2518.9048	MX1	1111.3043
MX2	531.508	MX2	396.5217
MXD1	196.0017	MXD1	433.4783
MXD3	171.2212	MXD3	63.4913
MXD4	1844.8501	MXD4	1259.1304
MXI1	764.4502	MXI1	1475.2174
