gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
ITPR1	2533.1325	ITPR1	491.727
ITPR2	4350.7363	ITPR2	503.6194
ITPR3	612.2356	ITPR3	222.182
ITPRIPL1	14.7256	ITPRIPL1	26.3702
ITPRIPL2	7987.9518	ITPRIPL2	1054.2916
ITPRIP	864.7925	ITPRIP	846.9493
ITSN1	776.7738	ITSN1	1965.3568
ITSN2	1323.6278	ITSN2	1260.0827
IVD	2173.6948	IVD	3751.8097
IVNS1ABP	5851.7403	IVNS1ABP	1563.0817
IWS1	1052.8782	IWS1	1400.2068
IYD	684.739	removed	removed
JAG1	2370.4819	JAG1	1207.8594
JAG2	792.1687	JAG2	568.7694
JAGN1	437.0817	JAGN1	598.759
JAK1	4378.5141	JAK1	5883.6608
JAK2	430.7229	JAK2	1345.3981
JAK3	178.7149	JAK3	11.3754
JAKMIP1	5.6894	removed	removed
JAKMIP2	11.7135	removed	removed
JAKMIP3	167.6707	JAKMIP3	14.4778
JAM2	197.7912	JAM2	509.8242
JAM3	1284.1365	JAM3	599.7932
JARID2	632.5301	JARID2	648.3971
JAZF1	515.3949	JAZF1	377.9731
JDP2	500	JDP2	455.0155
JHDM1D	814.5917	JHDM1D	1852.637
JKAMP	1332.9987	JKAMP	640.1241
JMJD1C	1823.7149	JMJD1C	1868.5832
JMJD4	658.1627	JMJD4	261.97
JMJD5	87.3494	JMJD5	162.3578
JMJD6	332.3293	JMJD6	1345.3981
JMJD7-PLA2G4B	510.7095	JMJD7-PLA2G4B	195.9669
JMJD8	2243.8855	JMJD8	631.97
JMY	870.4819	JMY	1042.3992
JOSD1	1309.5716	JOSD1	944.1572
JOSD2	158.6345	JOSD2	155.636
JPH1	52.5435	JPH1	11613.7539
JPH2	46.5194	JPH2	11360.91
JPH3	7.0281	removed	removed
JPH4	12.7175	JPH4	5.6877
JRKL	133.8688	JRKL	215.0982
JRK	219.5448	JRK	430.7135
removed	removed	JSRP1	1802.999
JTB	2239.2905	JTB	1835.5739
JUB	199.7992	JUB	37.7456
JUNB	4334.672	JUNB	14720.7859
JUND	3829.9866	JUND	3475.181
JUN	2457.162	JUN	19332.9886
JUP	5961.178	JUP	2998.4488
KAL1	1585.3414	KAL1	1054.2916
KALRN	351.4056	KALRN	1483.971
KANK1	918.0054	KANK1	1620.4757
KANK2	2193.7751	KANK2	2021.7166
KANK3	93.3735	KANK3	217.1665
KANK4	226.573	KANK4	6.2048
KARS	2000.3347	KARS	5640.6412
KAT2A	566.9344	KAT2A	325.2327
KAT2B	350.0669	KAT2B	4517.0631
KAT5	888.6981	KAT5	907.1458
KATNA1	235.2744	KATNA1	392.9679
KATNAL1	495.6493	KATNAL1	814.8914
KATNAL2	76.6399	KATNAL2	12.9266
KATNB1	214.8594	KATNB1	253.878
KAZALD1	41.7871	KAZALD1	171.515
KAZ	1206.3855	KAZ	68.6194
KBTBD10	10.3882	KBTBD10	249627.0062
KBTBD11	94.7122	KBTBD11	89.969
removed	removed	KBTBD12	3470.0103
removed	removed	KBTBD13	98.759
KBTBD2	1450.8032	KBTBD2	3693.8987
KBTBD3	146.6232	KBTBD3	169.1624
KBTBD4	410.4518	KBTBD4	735.8221
removed	removed	KBTBD5	8071.3547
KBTBD6	301.2048	KBTBD6	391.4168
KBTBD7	156.6265	KBTBD7	229.0589
KBTBD8	32.4632	KBTBD8	192.8645
KCMF1	1260.0402	KCMF1	3325.2327
KCNA1	19.0763	KCNA1	6.7218
removed	removed	KCNA2	17.0631
KCNA3	34.4712	KCNA3	5.6877
KCNA5	8.0321	KCNA5	72.9059
KCNA6	12.0482	KCNA6	58.9452
removed	removed	KCNA7	2978.8004
KCNAB1	74.2972	KCNAB1	110.6515
KCNAB2	290.1606	KCNAB2	41.8821
KCNAB3	10.3748	removed	removed
KCNB1	9.0361	KCNB1	236.2978
KCNB2	33.8019	KCNB2	7.2389
KCNC1	26.1044	KCNC1	17.5801
KCNC3	57.5636	KCNC3	23.7849
KCNC4	88.6881	KCNC4	221.303
KCND1	74.2972	KCND1	28.9555
KCND2	194.7791	KCND2	62.5646
KCND3	211.8474	KCND3	104.4467
removed	removed	KCNE1L	6.7218
KCNE1	6.3588	removed	removed
removed	removed	KCNE2	21.7166
KCNE3	211.178	KCNE3	59.4623
KCNE4	7678.0455	KCNE4	96.1737
KCNF1	8.0321	removed	removed
KCNH1	128.5141	removed	removed
KCNH2	21.419	KCNH2	6.7218
KCNIP1	11.3788	KCNIP1	8.273
KCNIP2	18.407	KCNIP2	26.8873
KCNIP3	452.4766	KCNIP3	35.6774
KCNIP4	9.0361	KCNIP4	13.9607
KCNJ10	7.6975	removed	removed
KCNJ11	626.1714	KCNJ11	2237.849
KCNJ12	26.7738	KCNJ12	4153.5677
KCNJ14	14.0562	KCNJ14	54.2916
KCNJ15	28.1124	KCNJ15	9.3071
removed	removed	KCNJ16	12.4095
KCNJ2	96.3855	KCNJ2	1417.2699
KCNJ3	394.913	KCNJ3	23.2678
KCNJ5	138.5542	KCNJ5	7.2389
KCNJ8	309.9063	KCNJ8	372.8025
KCNK10	10.3748	removed	removed
KCNK13	39.1566	removed	removed
KCNK15	39.4913	removed	removed
KCNK17	12.0482	removed	removed
KCNK1	1163.6546	KCNK1	8.273
KCNK2	11.0442	KCNK2	9.8242
KCNK3	124.498	KCNK3	5.1706
KCNK5	195.1138	KCNK5	9.3071
KCNK6	208.166	KCNK6	19.1313
removed	removed	KCNK7	10.3413
KCNMA1	653.6145	KCNMA1	1831.4374
KCNMB1	75.3012	KCNMB1	20.1655
removed	removed	KCNMB2	21.1996
KCNMB3	57.8983	KCNMB3	28.9555
KCNMB4	86.6801	KCNMB4	60.4964
KCNN2	16.7336	KCNN2	159.7725
KCNN3	53.2129	KCNN3	262.668
KCNN4	129.1834	removed	removed
KCNQ1OT1	85.6794	KCNQ1OT1	48.0869
KCNQ1	303.2095	KCNQ1	33.6091
KCNQ3	52.2088	removed	removed
KCNQ4	27.7778	KCNQ4	80.6618
KCNQ5	29.4511	KCNQ5	3348.5005
KCNRG	12.7142	removed	removed
KCNS2	8.3668	removed	removed
KCNS3	342.7041	KCNS3	2358.8418
KCNT1	143.5743	KCNT1	291.6236
KCNT2	22.0884	KCNT2	8.273
KCP	7.0415	KCP	20.2585
KCTD10	1697.4565	KCTD10	838.1593
KCTD11	519.0763	KCTD11	205.7911
KCTD12	3480.589	KCTD12	2427.6112
KCTD13	377.51	KCTD13	64.1158
KCTD14	13.3869	KCTD14	6.7218
KCTD15	302.2088	KCTD15	113.2368
KCTD16	16.7336	KCTD16	5.1706
KCTD17	135.5422	KCTD17	41.365
KCTD18	388.8889	KCTD18	378.4902
KCTD1	565.9304	KCTD1	114.788
KCTD20	1894.913	KCTD20	1747.1562
KCTD21	701.1379	KCTD21	251.2927
KCTD2	896.921	KCTD2	1453.9814
KCTD3	4955.4886	KCTD3	1021.7166
KCTD5	1027.4431	KCTD5	412.6163
KCTD6	846.0509	KCTD6	180.9721
KCTD7	375.502	KCTD7	152.4457
removed	removed	KCTD8	55.3257
KCTD9	566.2651	KCTD9	1331.9545
KDELC1	175.0335	KDELC1	80.6618
KDELC2	1426.7068	KDELC2	915.2017
KDELR1	3235.2744	KDELR1	1368.1489
KDELR2	6560.241	KDELR2	1851.6029
KDELR3	547.8581	KDELR3	161.8407
KDM1A	1028.4471	KDM1A	1412.0993
KDM1B	277.4431	KDM1B	777.1458
KDM2A	3648.2597	KDM2A	3860.91
KDM2B	516.6131	KDM2B	477.1303
KDM3A	1677.3762	KDM3A	1355.7394
KDM3B	3404.2838	KDM3B	3426.577
KDM4A	721.5529	KDM4A	937.9421
KDM4B	1398.929	KDM4B	1458.635
KDM4C	732.9317	KDM4C	272.4922
KDM4D	19.7456	KDM4D	28.9555
KDM5A	1547.1888	KDM5A	1303.516
KDM5B	2213.8554	KDM5B	547.5698
KDM5C	2387.8849	KDM5C	2060.4964
KDM6A	942.7711	KDM6A	950.879
KDM6B	977.577	KDM6B	842.8128
KDR	2365.4618	KDR	1237.849
KDSR	1446.7871	KDSR	595.6567
KEAP1	1701.1379	KEAP1	4565.667
KEL	237.2825	removed	removed
KERA	579.3173	KERA	16.546
KGFLP1	27.7778	KGFLP1	40.848
KGFLP2	219.4043	KGFLP2	148.1851
KHDC1	12.3829	KHDC1	20.6825
KHDRBS1	2698.1258	KHDRBS1	2261.6339
KHDRBS3	178.7149	KHDRBS3	669.0796
KHK	60.1071	KHK	113.7487
KHNYN	3079.5348	KHNYN	1214.4571
KHSRP	1494.6452	KHSRP	1604.4467
KIAA0020	444.1098	KIAA0020	217.1665
KIAA0040	5916.6667	KIAA0040	771.9752
KIAA0090	925.3681	KIAA0090	1064.6329
KIAA0100	7557.0482	KIAA0100	6055.1086
KIAA0101	26.1044	KIAA0101	9.8242
KIAA0114	248.3266	KIAA0114	748.7073
KIAA0141	1826.6399	KIAA0141	1169.0796
KIAA0146	772.0884	KIAA0146	299.3795
KIAA0174	2242.6372	KIAA0174	2222.8542
KIAA0182	2218.5408	KIAA0182	2351.0858
KIAA0195	1157.3461	KIAA0195	2493.3816
KIAA0196	1896.5863	KIAA0196	1346.4323
KIAA0226	996.6533	KIAA0226	613.7539
KIAA0232	1516.7336	KIAA0232	5323.1644
KIAA0240	1144.2436	KIAA0240	1049.6381
KIAA0247	6972.8916	KIAA0247	828.8521
KIAA0284	1222.5569	KIAA0284	156.1531
KIAA0317	1121.8206	KIAA0317	858.8418
KIAA0319L	2157.6305	KIAA0319L	2781.2823
KIAA0355	959.8394	KIAA0355	1355.2223
KIAA0368	3789.4913	KIAA0368	12000
KIAA0391	618.7818	KIAA0391	721.9028
KIAA0406	754.6854	KIAA0406	641.1582
removed	removed	KIAA0408	2679.0331
KIAA0415	508.3668	KIAA0415	183.0403
KIAA0427	840.6961	KIAA0427	648.3971
KIAA0430	3820.2811	KIAA0430	2743.5367
KIAA0467	839.6118	KIAA0467	892.9007
KIAA0494	3606.004	KIAA0494	4661.8407
KIAA0495	456.158	KIAA0495	490.1758
KIAA0513	443.7751	KIAA0513	474.1468
KIAA0528	1062.9183	KIAA0528	428.6453
KIAA0556	1664.6586	KIAA0556	145.8118
KIAA0562	679.3842	KIAA0562	674.7673
KIAA0564	865.7965	KIAA0564	4691.3133
KIAA0586	297.1888	KIAA0586	498.9659
KIAA0649	577.3092	KIAA0649	224.9224
KIAA0652	2041.4993	KIAA0652	1099.2761
KIAA0664P3	60.241	KIAA0664P3	9.8242
KIAA0664	1538.822	KIAA0664	5370.2172
KIAA0748	25.7697	KIAA0748	12.4095
KIAA0753	290.4953	KIAA0753	80.6618
KIAA0754	201.8072	KIAA0754	903.3092
KIAA0776	1155.2878	KIAA0776	1456.5667
KIAA0802	334.672	KIAA0802	108.5832
KIAA0831	630.1874	KIAA0831	1272.4922
KIAA0892	1679.0495	KIAA0892	1730.6101
KIAA0895L	165.328	KIAA0895L	85.4809
KIAA0895	285.4752	KIAA0895	68.2523
KIAA0907	849.7323	KIAA0907	367.1148
KIAA0913	1220.2142	KIAA0913	1622.0269
KIAA0922	630.8568	KIAA0922	1330.4033
KIAA0947	1265.7296	KIAA0947	2043.9504
KIAA1009	167.6707	KIAA1009	98.759
KIAA1012	1055.8902	KIAA1012	1798.8625
KIAA1024	185.4083	KIAA1024	68.2523
KIAA1033	1029.1165	KIAA1033	1203.7229
removed	removed	KIAA1045	10.3413
KIAA1107	133.5341	KIAA1107	76.0083
KIAA1109	1601.071	KIAA1109	5585.3154
KIAA1143	526.4391	KIAA1143	1241.9855
KIAA1147	5105.4217	KIAA1147	415.2017
KIAA1161	2122.49	KIAA1161	4174.7673
KIAA1191	3163.9893	KIAA1191	2593.5884
KIAA1199	241.6332	removed	removed
KIAA1210	11.0442	removed	removed
KIAA1211	141.2316	KIAA1211	5.6877
KIAA1217	5131.6131	KIAA1217	3277.1458
KIAA1244	3039.4913	KIAA1244	31.5408
KIAA1257	17.7912	removed	removed
KIAA1267	1181.7269	KIAA1267	1183.5574
KIAA1274	614.7925	KIAA1274	268.8728
KIAA1279	727.2423	KIAA1279	1979.8345
KIAA1310	2069.2771	KIAA1310	3384.1779
KIAA1324L	158.9692	KIAA1324L	266.8046
KIAA1324	10766.7336	removed	removed
KIAA1328	89.3574	KIAA1328	146.3289
KIAA1370	2944.7791	KIAA1370	1745.605
KIAA1377	136.2115	KIAA1377	73.423
KIAA1383	67.6037	KIAA1383	238.3661
KIAA1407	248.6613	KIAA1407	23.7849
removed	removed	KIAA1409	37.2285
KIAA1429	17152.2758	KIAA1429	1261.6339
KIAA1430	976.573	KIAA1430	517.5801
KIAA1432	1058.5408	KIAA1432	798.1644
KIAA1462	2726.2383	KIAA1462	1536.7115
KIAA1467	10964.5248	KIAA1467	122.544
KIAA1468	711.5127	KIAA1468	429.1624
KIAA1522	5882.8648	KIAA1522	253.3609
KIAA1524	29.1165	KIAA1524	28.4643
KIAA1529	962.5167	KIAA1529	62.0476
KIAA1530	117.4699	KIAA1530	109.6174
KIAA1539	693.4404	KIAA1539	377.456
KIAA1543	893.909	removed	removed
KIAA1549	227.9116	KIAA1549	73.423
KIAA1586	113.1191	KIAA1586	171.1479
KIAA1598	2005.3548	KIAA1598	55.8428
KIAA1609	320.9505	KIAA1609	113.2368
KIAA1614	42.2456	KIAA1614	26.1531
KIAA1632	777.4431	KIAA1632	1442.0889
KIAA1644	107.4297	KIAA1644	6.2048
KIAA1671	3666.332	KIAA1671	1466.3909
KIAA1683	45.5154	KIAA1683	46.0186
KIAA1704	436.2316	KIAA1704	338.5832
KIAA1712	274.3976	KIAA1712	241.2875
KIAA1715	811.245	KIAA1715	1677.8697
KIAA1731	478.9157	KIAA1731	324.7156
KIAA1737	1740.9639	KIAA1737	6578.5936
KIAA1751	18.7416	removed	removed
KIAA1755	148.5944	KIAA1755	65.1499
KIAA1797	782.1285	KIAA1797	1083.7642
KIAA1804	86.0107	removed	removed
KIAA1826	193.1058	KIAA1826	662.8749
KIAA1841	162.6506	KIAA1841	205.274
KIAA1875	13.7216	KIAA1875	6.7218
KIAA1908	190.0937	KIAA1908	77.0424
KIAA1919	47.1888	KIAA1919	98.759
KIAA1949	1353.079	KIAA1949	622.0269
KIAA1958	131.5261	KIAA1958	47.5698
KIAA1967	2183.4003	KIAA1967	1737.849
KIAA1984	39.7624	removed	removed
KIAA2013	980.9237	KIAA2013	1207.3423
KIAA2018	1304.5515	KIAA2018	3276.6287
KIAA2022	271.0843	KIAA2022	6.2048
KIAA2026	1282.1285	KIAA2026	1316.4426
KIDINS220	2027.4431	KIDINS220	1860.91
KIF11	132.5301	KIF11	35.1603
KIF12	60.5756	removed	removed
KIF13A	864.4578	KIF13A	6619.4416
KIF13B	8122.1452	KIF13B	343.8469
KIF14	21.419	KIF14	7.7559
KIF15	14.0562	KIF15	7.7559
KIF16B	3022.0884	KIF16B	853.6711
KIF17	28.1124	KIF17	38.7797
KIF18A	9.7055	KIF18A	9.3071
KIF18B	17.0683	removed	removed
KIF1B	1283.8019	KIF1B	30006.2048
KIF1C	1725.2343	KIF1C	22291.1065
KIF20A	34.4712	KIF20A	19.1313
KIF20B	124.498	KIF20B	75.4912
KIF21A	277.7778	KIF21A	677.3526
KIF21B	470.2142	KIF21B	17.0631
KIF22	1124.1633	KIF22	552.7404
KIF23	62.249	KIF23	17.5801
KIF24	96.3889	KIF24	27.4043
KIF26A	96.3855	KIF26A	171.6649
KIF26B	805.5556	KIF26B	10.3413
KIF27	110.4418	KIF27	35.6774
KIF2A	534.4712	KIF2A	309.2037
KIF2C	38.822	KIF2C	13.9607
KIF3A	1084.0027	KIF3A	237.849
KIF3B	3067.9384	KIF3B	480.3516
KIF3C	369.8126	KIF3C	132.3681
KIF4A	30.1205	KIF4A	8.7901
KIF5A	217.5368	removed	removed
KIF5B	4269.7456	KIF5B	7768.8728
KIF5C	203.8153	KIF5C	26.3702
KIF6	13.7216	removed	removed
KIF7	64.5047	KIF7	31.9183
KIF9	73.0288	KIF9	79.7363
KIFAP3	1103.7483	KIFAP3	1031.5408
KIFC1	36.1446	KIFC1	17.0631
KIFC2	377.2289	KIFC2	29.4726
KIFC3	351.7403	KIFC3	155.1189
KILLIN	14.7256	KILLIN	18.6143
KIN	159.3039	KIN	187.1768
KIRREL2	6.0241	removed	removed
removed	removed	KIRREL3	5.6877
KIRREL	569.6118	KIRREL	244.5708
KITLG	813.253	KITLG	814.3744
KIT	352.7443	KIT	176.3185
removed	removed	KLB	11.3754
KLC1	1445.0301	KLC1	3076.7373
KLC2	802.5435	KLC2	822.1303
KLC3	24.2704	removed	removed
KLC4	556.3722	KLC4	509.8966
KLF10	2229.585	KLF10	17116.3392
KLF11	489.2905	KLF11	1461.2203
KLF12	390.8969	KLF12	1275.5946
KLF13	2880.1874	KLF13	2819.0279
removed	removed	KLF14	14.4778
KLF15	20.7497	KLF15	778.697
KLF16	386.8809	KLF16	68.2523
KLF2	378.5141	KLF2	1081.1789
KLF3	1655.6058	KLF3	1040.7601
KLF4	296.1847	KLF4	2300.4137
KLF5	268.0723	KLF5	1203.2058
KLF6	4974.8996	KLF6	5058.4281
KLF7	253.3467	KLF7	83.2472
KLF8	80.9906	KLF8	197.5181
KLF9	3428.3802	KLF9	7460.1861
KLHDC10	2180.0535	KLHDC10	1377.456
KLHDC1	111.4458	KLHDC1	174.7673
KLHDC2	1900.9371	KLHDC2	2251.2927
KLHDC3	1768.0723	KLHDC3	9388.8314
KLHDC4	199.7992	KLHDC4	115.3051
KLHDC5	1374.1633	KLHDC5	230.6101
KLHDC7A	2048.8621	removed	removed
KLHDC7B	30.1205	removed	removed
KLHDC8A	30.1205	removed	removed
KLHDC8B	437.751	KLHDC8B	1129.2658
KLHDC9	293.5074	KLHDC9	44.4674
KLHL11	92.0348	KLHL11	59.4623
KLHL12	1557.8983	KLHL12	760.0827
KLHL13	41.834	KLHL13	271.9752
KLHL14	110.4418	removed	removed
KLHL15	283.4672	KLHL15	598.759
KLHL17	63.9224	KLHL17	23.2678
KLHL18	461.5127	KLHL18	377.9731
KLHL20	516.3989	KLHL20	726.9907
KLHL21	537.8179	KLHL21	5586.3495
KLHL22	475.2343	KLHL22	540.848
KLHL23	118.407	KLHL23	397.1044
KLHL24	2138.5542	KLHL24	5082.213
removed	removed	KLHL25	219.2347
KLHL26	319.6118	KLHL26	286.4529
KLHL28	554.2169	KLHL28	778.697
KLHL29	71.6198	KLHL29	167.5284
KLHL2	371.1513	KLHL2	128.2316
removed	removed	KLHL30	1983.454
KLHL31	6.6232	KLHL31	11934.1882
removed	removed	KLHL32	16.029
removed	removed	KLHL33	762.151
removed	removed	KLHL34	732.1613
KLHL35	18.407	KLHL35	6.7218
KLHL36	188.4203	KLHL36	101.8614
KLHL38	24.4311	KLHL38	4083.7642
KLHL3	191.7671	KLHL3	108.5832
KLHL4	20.415	KLHL4	80.6618
KLHL5	560.5756	KLHL5	464.3226
KLHL6	191.0977	KLHL6	34.6432
KLHL7	612.1151	KLHL7	683.0403
KLHL8	287.1486	KLHL8	978.2834
KLHL9	1547.8581	KLHL9	690.7963
KLK4	82.664	removed	removed
KLK5	15.7296	removed	removed
KLK6	5.6894	removed	removed
KLK7	12.3829	removed	removed
KLRA1	19.7456	KLRA1	5.1706
KLRAQ1	400.2677	KLRAQ1	356.2565
KLRB1	19.7456	KLRB1	7.7559
KLRC1	5.6894	removed	removed
KLRD1	20.415	removed	removed
KLRF1	79.3173	removed	removed
KLRG1	6.3588	KLRG1	38.2627
KLRG2	18.7416	removed	removed
KLRK1	58.2564	KLRK1	9.8242
KL	34.8059	KL	116.8563
KMO	912.1218	removed	removed
KNDC1	493.6412	removed	removed
KNTC1	199.5984	KNTC1	80.1448
KPNA1	2796.1847	KPNA1	5972.5957
KPNA2	1564.257	KPNA2	326.7839
KPNA3	1218.2062	KPNA3	11019.6484
KPNA4	2123.494	KPNA4	10630.2999
KPNA5	111.1111	KPNA5	458.1179
KPNA6	2256.0241	KPNA6	3949.3278
KPNB1	3806.2249	KPNB1	5066.7011
KPTN	194.4444	KPTN	142.1923
KRAS	1629.1834	KRAS	780.2482
KRBA1	262.3829	KRBA1	190.7963
KRBA2	72.2892	KRBA2	174.2503
KRCC1	1215.5288	KRCC1	558.4281
KREMEN1	631.1914	KREMEN1	2365.0465
KREMEN2	14.0562	removed	removed
KRI1	482.5402	KRI1	546.0445
KRIT1	741.2985	KRIT1	837.1251
KRR1	584.2169	KRR1	1535.3619
KRT10	275.7697	KRT10	290.5895
KRT14	192.1017	removed	removed
KRT15	56.2249	removed	removed
KRT16	12.0482	removed	removed
KRT17	264.3909	removed	removed
KRT18	7009.9498	KRT18	24.302
KRT19	6587.6841	removed	removed
KRT1	16.3989	removed	removed
KRT222	34.1365	KRT222	57.9111
KRT23	607.4297	KRT23	6.2048
removed	removed	KRT31	130.817
KRT5	263.7216	removed	removed
KRT6A	6.0241	removed	removed
KRT6B	110.4418	removed	removed
KRT7	83.668	removed	removed
KRT80	169.6787	KRT80	69.2865
KRT81	50.8701	removed	removed
KRT86	24.7657	removed	removed
KRT8	7083.7584	removed	removed
KRTCAP2	1605.4217	KRTCAP2	777.1458
KRTCAP3	271.0843	KRTCAP3	5.6877
KSR1	481.593	KSR1	1834.5398
KSR2	20.415	removed	removed
KTELC1	296.1847	KTELC1	119.4416
KTI12	151.2718	KTI12	90.486
KTN1	7008.3668	KTN1	16831.9545
KYNU	1023.0924	removed	removed
removed	removed	KY	1157.1872
L1CAM	13.0522	L1CAM	53.2575
L1TD1	22.0884	removed	removed
L2HGDH	203.8153	L2HGDH	1127.7146
L3MBTL2	865.2175	L3MBTL2	549.5243
L3MBTL3	201.1379	L3MBTL3	131.334
L3MBTL4	48.5274	L3MBTL4	31.5408
L3MBTL	146.921	L3MBTL	79.6277
LACE1	45.1807	LACE1	81.696
LACRT	32.7979	removed	removed
LACTB2	341.3655	LACTB2	539.2968
LACTB	331.3253	LACTB	1192.8645
LAD1	674.0295	LAD1	53.2575
LAG3	41.1647	removed	removed
LAGE3	172.0214	LAGE3	232.1613
LAIR1	782.7979	LAIR1	62.0476
LAMA1	35.8099	removed	removed
LAMA2	1820.6124	LAMA2	3318.5005
LAMA3	128.8487	LAMA3	130.2999
LAMA4	3371.8206	LAMA4	3176.8356
LAMA5	2950.8032	LAMA5	540.848
removed	removed	LAMB1	3217.6836
LAMB2L	21.0843	LAMB2L	9.3071
LAMB2	6787.8179	LAMB2	7006.2048
LAMB3	116.1312	LAMB3	118.4074
LAMC1	5258.3668	LAMC1	7670.6308
LAMC2	146.2517	LAMC2	46.0186
LAMC3	105.7564	LAMC3	29.4726
LAMP1	7384.5382	LAMP1	2815.9255
LAMP2	8773.0924	LAMP2	5997.4147
LAMP3	56.2249	removed	removed
LANCL1	1532.7979	LANCL1	2705.7911
LANCL2	461.8474	LANCL2	582.213
removed	removed	LANCL3	6.2048
LAP3	1456.4926	LAP3	2025.8532
LAPTM4A	11562.249	LAPTM4A	4253.3609
LAPTM4B	1064.9264	LAPTM4B	8604.9638
LAPTM5	7119.4779	LAPTM5	500.5171
LARGE	1216.1981	LARGE	1731.6443
LARP1B	338.3534	LARP1B	559.9793
LARP1	6393.5743	LARP1	5027.9214
LARP4B	1748.6613	LARP4B	2073.94
LARP4	1402.6104	LARP4	1949.8449
LARP6	172.6908	LARP6	306.1013
LARP7	795.8501	LARP7	1127.1975
LARS2	354.4177	LARS2	608.0662
LARS	2577.6439	LARS	4140.1241
LAS1L	763.7216	LAS1L	225.9566
LASP1	4222.5569	LASP1	1526.3702
removed	removed	LASS1	125.9359
LASS2	9097.0549	LASS2	914.1675
LASS4	6449.4645	LASS4	52.2234
LASS5	628.1794	LASS5	196.484
LASS6	3110.4116	LASS6	948.3351
LAT2	613.4538	LAT2	21.7166
LATS1	627.8447	LATS1	551.7063
LATS2	1045.5154	LATS2	1027.9214
LAT	110.9505	LAT	16.029
LAX1	26.7738	removed	removed
LAYN	184.739	LAYN	156.6701
LBH	1767.4029	LBH	505.1706
removed	removed	LBP	67.2182
LBR	546.1847	LBR	685.6256
removed	removed	LBX1	121.5098
LBX2	15.9739	removed	removed
LBXCOR1	15.3949	removed	removed
LCA5L	78.9826	LCA5L	57.394
LCA5	242.9719	LCA5	137.5388
LCAT	54.6285	LCAT	59.0486
LCK	86.0107	LCK	16.546
LCLAT1	427.7108	LCLAT1	301.9648
LCMT1	1058.2329	LCMT1	848.5005
LCMT2	331.9946	LCMT2	253.878
LCN12	113.7885	removed	removed
LCN2	840.6961	removed	removed
LCORL	63.8788	LCORL	85.3516
LCOR	233.7918	LCOR	371.2254
LCP1	2054.2169	LCP1	369.7001
LCP2	692.1017	LCP2	140.1241
LDB1	2016.0643	LDB1	935.8842
LDB2	423.3601	LDB2	435.3671
LDB3	40.4953	LDB3	145179.938
LDHA	12834.3373	LDHA	31561.5305
LDHB	3729.2503	LDHB	6357.8077
LDHD	224.8996	LDHD	2537.2285
LDLRAD2	171.342	LDLRAD2	147.4354
LDLRAD3	823.9625	LDLRAD3	122.0269
LDLRAP1	373.8286	LDLRAP1	451.9131
LDLR	1340.6961	LDLR	628.2316
LDOC1L	1250.3347	LDOC1L	788.0041
LDOC1	534.8059	LDOC1	77.0424
LEAP2	7.6975	LEAP2	5.6877
LEF1	439.759	LEF1	6.2048
LEFTY1	5.0201	LEFTY1	6.2048
removed	removed	LEFTY2	33.6091
LEKR1	26.1044	removed	removed
LEMD2	681.0576	LEMD2	420.8893
LEMD3	1702.4766	LEMD3	601.3444
LENG1	97.7242	LENG1	139.607
LENG8	2706.2249	LENG8	742.1251
LENG9	102.3427	LENG9	24.6794
LEO1	1647.925	LEO1	442.606
LEPRE1	965.5288	LEPRE1	282.3164
LEPREL1	245.9839	LEPREL1	83.7642
LEPREL2	753.3233	LEPREL2	148.9142
LEPROTL1	1889.5582	LEPROTL1	506.2048
LEPROT	693.0689	LEPROT	693.3144
LEPR	159.6754	LEPR	278.7642
removed	removed	LEP	14.4778
LETM1	796.8541	LETM1	895.5533
LETM2	31.1245	removed	removed
LETMD1	493.3066	LETMD1	444.1572
LFNG	349.7323	LFNG	206.8252
removed	removed	LGALS12	5.1706
LGALS1	5102.075	LGALS1	7896.0703
LGALS2	21.7537	LGALS2	11.8925
LGALS3BP	12089.3574	LGALS3BP	1557.394
LGALS3	1975.5689	LGALS3	1260.0827
removed	removed	LGALS4	5.6877
LGALS8	3945.3414	LGALS8	306.1013
LGALS9C	16.3989	removed	removed
LGALS9	2046.8541	LGALS9	236.8149
removed	removed	LGI1	122.0269
LGI2	89.6921	LGI2	43.9504
LGI4	77.9786	LGI4	378.4902
LGMN	2699.4645	LGMN	1565.1499
LGR4	312.9183	LGR4	1071.3547
LGR5	40.83	LGR5	931.2306
LGR6	50.8701	LGR6	8.273
LGTN	1071.2851	LGTN	1384.1779
removed	removed	LHFPL1	10.8583
LHFPL2	2373.1593	LHFPL2	452.9473
LHFPL5	35.1406	removed	removed
LHFP	1193.1058	LHFP	1126.6805
LHPP	234.2704	LHPP	148.9142
LHX1	9.0361	removed	removed
LHX6	59.5716	LHX6	152.0165
LIAS	86.3454	LIAS	739.4002
LIFR	506.6934	LIFR	2963.2885
LIF	161.6466	LIF	41.365
LIG1	216.1981	LIG1	155.636
LIG3	647.2557	LIG3	456.0496
LIG4	399.2637	LIG4	425.0259
LILRA1	31.1245	removed	removed
LILRA2	158.6345	LILRA2	12.4095
LILRA4	17.0683	removed	removed
LILRA5	7.3628	LILRA5	12.4095
LILRA6	83.1827	LILRA6	17.5957
LILRB1	235.2744	LILRB1	7.7559
LILRB2	180.3882	LILRB2	34.1262
LILRB3	28.9324	LILRB3	11.8769
